ejam_uniq_id,lat,lon,REGISTRY_ID,PRIMARY_NAME,NAICS,valid,invalid_msg
35,41.164484,-74.259083,110006702434,KYNDRYL INC - STERLING FOREST,"518210, 541512",TRUE,
36,28.016352,-81.904644,110007419169,MIDSTATE MACHINE & FABRICATION COMPANY,"115210, 238120, 238220, 312229, 313311, 314999, 325998, 332321, 332322, 332439, 332710, 332812, 332813, 332999, 333319, 333415, 333999, 334519, 336399, 339911, 339912, 339914, 425120, 442299, 444130, 444210, 451110, 488390, 488490, 491110, 512240, 512290, 518210, 519190, 522320, 541199, 541340, 541350, 541370, 541410, 541420, 541490, 541870, 541890, 541930, 541990, 561410, 561421, 561422, 561431, 561439, 561440, 561491, 561499, 561591, 561599, 561622, 561790, 561910, 561920, 561990, 562991, 562998, 711310, 711320, 711410, 711510, 811211, 811212, 811219, 811310, 811411, 811412, 811430, 811490, 812320, 812990",TRUE,
37,39.25003,-94.64872,110007644335,ST  LUKES NORTHLAND HOSPITAL-ST  LUKES NORTHLAND HOSPITAL,"518210, 622110",TRUE,
38,45.068772,-93.450487,110008658032,DATA RECOGNITION CORP/SCANDOCS DIVISION,"323111, 323119, 518210, 541511",TRUE,
39,45.07694,-93.08101,110008694760,INNOVISE,"051821, 518210",TRUE,
40,45.064105,-93.409323,110008817799,UHG-IT PLYMOUTH,"051821, 062111, 518210, 621112",TRUE,
41,44.943626,-93.095043,110008836484,RAMSEY COUNTY MICROFILM DEPT,"051821, 518210",TRUE,
42,39.97089,-83.12028,110009603312,IBM GLOBAL SERVICES (0125042152),"333998, 333999, 518210, 541519, 561499",TRUE,
43,27.911399,-81.981193,110011333360,KOLORTRAX UNLIMITED,"312229, 313311, 314999, 325998, 425120, 488490, 491110, 512240, 512290, 518210, 519190, 522320, 541199, 541340, 541350, 541370, 541410, 541420, 541490, 541870, 541890, 541930, 541990, 561410, 561421, 561422, 561431, 561439, 561440, 561491, 561499, 561591, 561599, 561790, 561910, 561920, 561990, 711310, 711320, 711410, 811310, 812320, 812990",TRUE,
44,35.20782,-101.83829,110011437702,SOUTHWESTERN PUBLIC SERVICE,"221119, 221121, 221122, 518210, 522220, 541330, 541420, 541618",TRUE,
45,35.05497,-106.6243,110012157405,PRESBYTERIAN HEALTHCARE INFO SYS CTR,518210,TRUE,
46,36.26113,-95.90698,110012160311,DXC TECHNOLOGY SERVICES LLC / CHEROKEE DATA CENTER,518210,TRUE,
47,42.51857,-71.51168,110012166477,AMAZON COM SERVICES LLC DKO1,"334111, 493110, 518210",TRUE,
48,41.66587,-93.7101,110012169447,"JORDVERT, LLC","518210, 524210",TRUE,
49,40.762577,-73.974241,110012190832,TIFFANY'S FLAGSHIP STORE,518210,TRUE,
50,26.140815,-81.794872,110012582268,CITY CENTER PLAZA,"312229, 313311, 314999, 325998, 425120, 488490, 491110, 512240, 512290, 518210, 519190, 522320, 541199, 541340, 541350, 541370, 541410, 541420, 541490, 541870, 541890, 541930, 541990, 561410, 561421, 561422, 561431, 561439, 561440, 561491, 561499, 561591, 561599, 561790, 561910, 561920, 561990, 711310, 711320, 711410, 812320, 812990",TRUE,
51,30.095833,-83.465278,110012583258,SADLER DRUM,"312229, 313311, 314999, 325998, 425120, 488490, 491110, 512240, 512290, 518210, 519190, 522320, 541199, 541340, 541350, 541370, 541410, 541420, 541490, 541870, 541890, 541930, 541990, 561410, 561421, 561422, 561431, 561439, 561440, 561491, 561499, 561591, 561599, 561790, 561910, 561920, 561990, 711310, 711320, 711410, 812320, 812990",TRUE,
52,35.10192,-106.588307,110013338833,TC ABQ RABINA INTERESTS LLC,518210,TRUE,
53,40.78608,-74.06785,110014633539,AT&T CORP,"517110, 517311, 518210",TRUE,
54,40.78606,-74.06778,110014687507,LANE BRYANT CO,"423390, 518210, 532490",TRUE,
55,40.54057,-74.53831,110015043781,DATAPIPE,"005415, 518210, 531390",TRUE,
56,40.77928,-74.0714,110015208274,BERNARD CHAUS INC,"518210, 541513",TRUE,
57,42.5479,-71.47007,110015656075,LUPOLI DEVELOPMENT,"334111, 518210",TRUE,
58,41.55198,-93.70253,110015714486,IOWA HEALTH SYSTEM,518210,TRUE,
59,29.669831,-82.32608,110016737165,MICROGRAPHICS INC,"312229, 313311, 314999, 325998, 425120, 488490, 491110, 512240, 512290, 518210, 519190, 522320, 541199, 541340, 541350, 541370, 541410, 541420, 541490, 541870, 541890, 541930, 541990, 561410, 561421, 561422, 561431, 561439, 561440, 561491, 561499, 561591, 561599, 561790, 561910, 561920, 561990, 711310, 711320, 711410, 812320, 812990",TRUE,
60,39.55081,-105.03388,110017378764,9110-9180 - 9119-9180 COMMERCE CENTER,"517110, 517111, 517311, 518210",TRUE,
61,38.94918,-94.76284,110017505699,SPRINT - LENEXA OSSC (W 99TH),"517110, 517311, 518210",TRUE,
62,39.75358,-75.51867,110017764187,JP MORGAN CHASE - 4001 GOVERNOR PRINTZ BLVD,"339112, 518210",TRUE,
63,39.64683,-75.65682,110017764196,JP MORGAN CHASE - BEAR CHRISTIANA ROAD,518210,TRUE,
64,40.30156,-75.88147,110017835262,CUSTOM PROCESSING SERVICES INC,"115112, 325998, 326199, 332710, 518210",TRUE,
65,38.98023,-77.44347,110018852204,22995 WILDER COURT LLC,"518210, 541513",TRUE,
66,41.16721,-74.25536,110019764520,"IBM STERLING FOREST, NY FACILITY",518210,TRUE,
67,38.90798,-77.22056,110020674858,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION,518210,TRUE,
68,44.86467,-93.44651,110020713860,KONTRON MOBILE COMPUTING,"051821, 518210",TRUE,
69,27.045966,-80.153332,110020895815,ENVIROLIGHT INC,"312229, 313311, 314999, 325998, 425120, 488490, 491110, 512240, 512290, 518210, 519190, 522320, 541199, 541340, 541350, 541370, 541410, 541420, 541490, 541870, 541890, 541930, 541990, 561410, 561421, 561422, 561431, 561439, 561440, 561491, 561499, 561591, 561599, 561790, 561910, 561920, 561990, 562219, 711310, 711320, 711410, 812320, 812990",TRUE,
70,38.26766,-121.96497,110021090978,DAVID GRANT MEDICAL CENTER,518210,TRUE,
71,37.41325,-121.93165,110021137410,"CISCO SYSTEMS, SITE 4 CAMPUS, BLDGS 1-19",518210,TRUE,
72,39.2966,-94.67863,110021142306,LIBERTY MUTUAL DATA CENTER-LIBERTY MUTUAL DATA CENTER,518210,TRUE,
73,37.47562,-121.92142,110021277553,XO COMMUNICATIONS INC,"517110, 517911, 518210",TRUE,
74,38.23724,-122.07819,110021315281,PACIFIC BELL,518210,TRUE,
75,42.392913,-71.264745,110024316257,CYXTERA BO-3,"518210, 541330",TRUE,
76,42.25025,-71.68825,110024328921,SSB REALTY GRAFTON DATA CENTER,"518210, 523999",TRUE,
77,42.33626,-71.59579,110024341149,SYNOPTEK LLC,"518210, 541513",TRUE,
78,39.300215,-94.681704,110024418272,MASTERCARD INTERNATIONAL,518210,TRUE,
79,36.362432,-94.183382,110024578688,"WAL- MART STORES, INC. - EAST DATA CENTER",518210,TRUE,
80,40.58348,-74.24312,110024902097,JONES LANG & LASALLE,518210,TRUE,
81,34.083371,-84.273536,110028005986,"ENTERPRISE SERVICES, LLC","518210, 999999",TRUE,
82,37.36191,-77.33308,110028010042,VIRGINIA INFORMATION TECHNOLOGIES AGENCY,"518210, 531312",TRUE,
83,28.10262,-80.688422,110028178479,"METRETEK, INC.","334418, 334519, 518210",TRUE,
84,35.90043,-81.546586,110028259480,"TAPAHA DYNAMICS, LLC",518210,TRUE,
85,33.40707,-86.91136,110028270190,CDC BIRMINGHAM,"211111, 518210",TRUE,
86,41.976326,-87.964294,110028286708,CHICAGO ENTERPRISE LLC,518210,TRUE,
87,40.77791,-74.06695,110029653373,755 SECAUCUS ROAD,"221112, 339115, 517110, 518210",TRUE,
88,40.7608,-74.02661,110029886434,CITICORP DATA SYSTEMS INC,"042369, 518210, 541513",TRUE,
89,40.76151,-74.02635,110029890955,RIVERVIEW COMMERCIAL OFFICE BUILDING,"000517, 053112, 517110, 518210",TRUE,
90,40.77368,-74.36179,110029905547,EASTGREEN INC AIG DATA CENTER,"005182, 518210, 561720",TRUE,
91,40.72711,-74.54564,110029918873,131 MORRISTOWN ROAD INVESTORS,"005311, 518210",TRUE,
92,40.55396,-74.46042,110030684383,CYXTERA NJ3,"517110, 518210",TRUE,
93,40.717114,-74.033864,110030728666,PLAZAS 2 & 3 @ HARBORSIDE FINANCIAL CENTER,"044611, 052111, 518210, 522110, 531120, 531190, 541519",TRUE,
94,42.001236,-87.955085,110030735177,EQUINIX LLC,518210,TRUE,
95,39.36269,-74.43829,110030808552,ATLANTIC CITY CONVENTION CENTER,518210,TRUE,
96,39.049674,-77.442742,110031217706,VISA USA INCORPORATED,518210,TRUE,
97,38.94968,-77.33245,110031222451,VPLS,518210,TRUE,
98,36.90427,-82.07361,110031257315,NORTHROP GRUMMAN SYSTEMS CORPORATION,"518210, 531312",TRUE,
99,40.55524,-74.43485,110032215877,BOWNE INFORMATION SERVICES INC,518210,TRUE,
100,47.61799,-122.35634,110032610002,ISILON,518210,TRUE,
101,40.55566,-74.48618,110032878973,NJ-1 DATA CENTER,"518210, 531120, 541513",TRUE,
102,40.8277,-74.04973,110032972059,365 DATA CENTERS,"518210, 541519",TRUE,
103,41.21979,-95.86573,110033138744,TETRA LLC,518210,TRUE,
104,40.77791,-74.06695,110033139716,EQUINIX,518210,TRUE,
105,29.57968,-98.54034,110033697872,HEB WH200,518210,TRUE,
106,40.08439,-75.33872,110034126158,INNOVATION 2201 LLC / UPPER MERION TWP,518210,TRUE,
107,33.0106,-96.76667,110034283077,COUNTRYWIDE SITE DEVELOPMENT,518210,TRUE,
108,33.0079,-97.24497,110034312376,CORNERSTONE SOUTHWEST DATA CENTER,518210,TRUE,
109,29.47897,-98.69541,110035309476,MICROSOFT,518210,TRUE,
110,32.93054,-97.10471,110035370504,RACKSPACE HOSTING,518210,TRUE,
111,42.028327,-92.89345,110037595992,EMERSON GLOBAL DATA CENTER,518210,TRUE,
112,38.9195,-77.21393,110037605856,"ZAYO GROUP, LLC","111110, 518210",TRUE,
113,40.28057,-74.55383,110037609950,S&P GLOBAL INC,"051113, 518210, 541910",TRUE,
114,37.47772,-121.9453,110037983466,MIRROR PLUS TECHNOLOGIES,518210,TRUE,
115,37.38992,-122.05476,110037987756,"WEBEX COMMUNICATIONS, INC","518210, 541511",TRUE,
116,33.6653,-112.12935,110038003950,AMERICAN EXPRESS IPC FACILITY,518210,TRUE,
117,37.37627,-121.95323,110038019961,"1100 SPACE PARK, LLC",518210,TRUE,
118,37.42307,-122.08421,110038062244,GOOGLE LLC,"334111, 518210",TRUE,
119,37.83492,-122.28719,110038067622,LEVEL 3 COMMUNICATIONS INC,"517110, 518210",TRUE,
120,37.3987,-121.97954,110038068738,SAVVIS COMMUNICATIONS CORPORATION DBA CENTURYLINK,"518210, 541513",TRUE,
121,37.78615,-122.39745,110038093773,CBS INC,518210,TRUE,
122,37.37907,-121.95449,110038094594,EQUINIX LLC,"518210, 541513",TRUE,
123,41.942103,-89.032942,110038120663,THE NORTHERN TRUST CO,518210,TRUE,
124,41.943852,-89.033127,110038132589,ALLSTATE DATA CENTER,518210,TRUE,
125,38.79058,-77.53953,110038456168,"AMAZON DATA SERVICES, INC. IAD-7 IAD-11 IAD-24",518210,TRUE,
126,38.33473,-81.62308,110038456783,GTECH CORPORATION,518210,TRUE,
127,45.30454,-93.62611,110038458139,UNITED HEALTH GROUP NEXT TECHNOLOGY CENTER,"051821, 518210",TRUE,
128,39.0249,-104.81824,110038637384,FEDERAL EXPRESS - CO TECH,"447110, 518210",TRUE,
129,44.046996,-91.613328,110038873476,MEDIASCOPE INC,"051821, 518210",TRUE,
130,44.99295,-93.22671,110039069370,FAIRVIEW DATA CENTER,"051821, 518210",TRUE,
131,38.41625,-81.4949,110039136413,GTECH CORPORATION,518210,TRUE,
132,40.54151,-74.54293,110040384811,MORGAN STANLEY DATA CENTER,518210,TRUE,
133,40.54528,-74.53751,110040390715,DATAPIPE,518210,TRUE,
134,42.39762,-71.26805,110040410196,SP 600 WINTER OWNER LLC,"518210, 541513",TRUE,
135,36.49936,-94.26555,110040461880,WAL-MART STORES EAST INC,518210,TRUE,
136,39.5608,-104.83264,110040490340,QWEST CORP - ENGLEWOOD CYBER CENTER,"517110, 517111, 517311, 518210",TRUE,
137,39.6974,-75.65133,110040491580,JP MORGAN CHASE - MORGAN CHRISTIANA CENT,"518210, 522110",TRUE,
138,42.78233,-71.24933,110040500357,"AUTOMATIC DATA PROCESSING, INC.",518210,TRUE,
139,35.09203,-106.65269,110040501329,OSO GRANDE TECHNOLOGY,518210,TRUE,
140,36.206389,-95.245778,110040506119,MYALL LLC/PCO,"221112, 518210",TRUE,
141,38.46082,-78.85467,110040513209,ANTHEM CDC 3,518210,TRUE,
142,38.95887,-77.41595,110040513496,IBM DULLES STATION WEST,518210,TRUE,
143,33.07239,-80.03884,110040521771,MAGURO MNK,518210,TRUE,
144,38.85916,-77.39273,110040757730,NORTHROP GRUMMAN SERVICES CORPORATION - FAIRLAKES,518210,TRUE,
145,42.39374,-71.2646,110041000314,115 2ND AVENUE LLC,518210,TRUE,
146,42.69406,-71.21197,110041061748,NAVISITE,"517111, 517311, 518210, 541618",TRUE,
147,39.18319,-85.89607,110041349715,"DATA CAVE, INC.",518210,TRUE,
148,41.844915,-87.941348,110041356859,CLEARBLUE TECHNOLOGIES/OAKBROOK INC,518210,TRUE,
149,38.96319,-77.38093,110041628646,SUNGARD AVAILABILITY SERVICES LIMITED PA,518210,TRUE,
150,40.27613,-74.04657,110041845787,FOVEONICS IMAGING TECHNOLOGIES INC @ EATONTOWN IND PK,518210,TRUE,
151,44.8072,-93.63547,110041860457,UNITED HEALTHCARE SERVICES INC - DATA CENTER,"051821, 518210, 621111",TRUE,
152,39.61185,-75.76325,110041890406,LNH INC DBA HOSTING.COM - 650 PENCADER,518210,TRUE,
153,30.299398,-89.474332,110041891334,"NASA SHARED SERVICE CENTER, NCCIPS",518210,TRUE,
154,40.40671,-75.51066,110042000241,CUSTOM PROCESSING SERVICES LLC,"327992, 518210",TRUE,
155,36.676594,-78.372428,110042150524,MICROSOFT CORPORATION - EAST COAST DATA CENTER,518210,TRUE,
156,36.20604,-95.86881,110042260399,DXC TECHNOLOGY SERVICES LLC / DXC TECHNOLOGY SERVICES LLC,518210,TRUE,
157,38.923,-77.20609,110042260905,NORTHROP GRUMMAN SYSTEMS CORPORATION,518210,TRUE,
158,33.29795,-112.09741,110042261021,"IO PHOENIX ONE, LLC",518210,TRUE,
159,40.833408,-74.139043,110042441587,CLIFTON DATA CENTER,518210,TRUE,
160,39.02072,-77.42902,110043179459,"AMAZON DATA SERVICES, INC.IAD-10, 32, 98, 99, 118, 119, 129",518210,TRUE,
161,42.035285,-87.979625,110043221750,ADP,518210,TRUE,
162,38.98896,-77.44832,110043294262,"AMAZON DATA SERVICES, INC. IAD-12 IAD-15 IAD-16 IAD-76 (73860)",518210,TRUE,
163,41.53848,-93.82678,110043322115,MICROSOFT CORPORATION - ALLUVIUM DATA CENTER,518210,TRUE,
164,38.60632,-77.2844,110043325817,PWCSA NEABSCO - OPERATIONS SUPPORT FACILITY BUILDING,"221320, 518210",TRUE,
165,40.817529,-74.303086,110043400156,AUTOMATIC DATA PROCESSING INC,518210,TRUE,
166,38.86819,-77.215,110043433219,NORTHROP GRUMMAN SYSTEMS CORP,"334511, 518210, 551114",TRUE,
167,39.01548,-77.47663,110043515808,"INTERGATE - ASHBURN, LLC","334611, 334614, 518210",TRUE,
168,41.219756,-95.86385,110043614434,"TETRA, LLC",518210,TRUE,
169,41.51944,-93.66385,110043627536,HEWLETT PACKARD COMPANY,518210,TRUE,
170,35.31556,-81.82162,110043697416,"ANDALE, INC.",518210,TRUE,
171,39.02216,-77.45611,110043702801,VA1 DATA CENTER,518210,TRUE,
172,42.37797,-71.0809,110044233308,INTERNAP NETWORK SERVICES,518210,TRUE,
173,36.49936,-94.26555,110044798403,WALMART NORTH DATA CENTER #8678,"455211, 518210",TRUE,
174,36.24255,-95.32657,110044930778,"MYALL, LLC",518210,TRUE,
175,39.02543,-77.41752,110044950318,INOVA HEALTH CARE SYSTEMS - IT OPERATIONS,518210,TRUE,
176,40.80319,-74.0973,110045365252,AEROPOSTALE INC,518210,TRUE,
177,41.25757,-95.937467,110045442124,NEBRASKA COLOCATION CENTER,518210,TRUE,
178,42.92837,-71.46505,110045459838,"COLOSPACE, INC.",518210,TRUE,
179,33.7756,-84.419966,110045488058,"QUALITY INVESTMENT PROPERTIES METRO, LLC","518210, 541513, 999999",TRUE,
180,41.33767,-96.02484,110045737244,CONAGRA FOODS INC DATA CENTER,518210,TRUE,
181,41.15944,-96.02598,110045866602,LIGHTEDGE DATA CENTER,518210,TRUE,
182,41.1473,-96.2357,110045893155,PINNACLE BANK DATA CENTER,518210,TRUE,
183,35.25424,-81.3851,110046103266,"BELLSOUTH TELECOMMUNICATIONS, LLC DBA AT&T NORTH CAROLINA",518210,TRUE,
184,41.637378,-93.50317,110046462421,"SICULUS, INC.",518210,TRUE,
185,41.16753,-95.79376,110046464250,GABLE CORPORATION,518210,TRUE,
186,37.36206,-77.32561,110046467658,CHIRISA RICHMOND LLC,"518210, 541513",TRUE,
187,40.55339,-74.46069,110046508524,SAVVIS NJ4,518210,TRUE,
188,37.39756,-121.98098,110054195027,SAVVIS COMMUNICATIONS CORPORATION DBA CENTURYLINK,"518210, 541513",TRUE,
189,37.52115,-122.25901,110054203232,RNM PROPERTIES,518210,TRUE,
190,39.02082,-77.459986,110054206783,DUPONT FABROS TECH - ASHBURN CORP CTR,518210,TRUE,
191,37.36208,-121.94655,110054209637,MICROSOFT CORPORATION,"518210, 541513",TRUE,
192,39.69966,-104.9875,110054239230,SIDUS GROUP - DENVER DATA CENTER,518210,TRUE,
193,37.566267,-121.983487,110054250403,LEVEL 3 COMMUNICATIONS,518210,TRUE,
194,37.4057,-121.9164,110054255541,CORESITE,518210,TRUE,
195,37.41441,-122.01462,110054255747,EQUINIX LLC,"518210, 541513",TRUE,
196,37.37636,-121.94868,110054255925,3011 LAFAYETTE,518210,TRUE,
197,37.480277,-122.200454,110054258101,AT&T CORPORATION,518210,TRUE,
198,39.79914,-121.85041,110054263006,SLATER LAND-MILESTONE TECHNOLOGIES,518210,TRUE,
199,39.712612,-121.879304,110054263104,SLATERLAND-SUNGARD BI-TECH,518210,TRUE,
200,39.7991,-121.85249,110054263140,SLATER LAND-SUNGARD BI-TECH,518210,TRUE,
201,38.0198,-121.93396,110054263408,LEVEL 3 COMMUNICATIONS LLC,"517110, 518210",TRUE,
202,39.79945,-121.85174,110054272666,SLATER LAND DIGITAL PATH,518210,TRUE,
203,37.72305,-122.39799,110054273460,"200 PAUL AVENUE LLC, C/O DIGITAL REALTY TRUST",518210,TRUE,
204,37.79903,-122.28282,110054273549,"365 JACK LONDON SQUARE, LLC",518210,TRUE,
205,38.25428,-122.27315,110054282502,KAISER PERMANENTE,518210,TRUE,
206,37.24156,-121.78313,110054282904,EQUINIX LLC,518210,TRUE,
207,37.39921,-122.0519,110054284742,"AOL,INC",518210,TRUE,
208,37.37694,-121.96433,110054302410,MISSION WEST PROPERTIES,518210,TRUE,
209,37.39965,-122.01453,110054306899,SWITCH AND DATA CA ELEVEN LLC,"221112, 517910, 518210, 541513",TRUE,
210,37.68842,-121.88986,110054309342,TERREMARK NORTH AMERICA INC,"517110, 518210",TRUE,
211,37.48665,-122.20437,110054317244,STANFORD ITSS DATA CENTER,518210,TRUE,
212,39.322162,-77.351997,110054317333,FANNIE MAE UTC DATA CENTER,518210,TRUE,
213,37.40009,-121.89529,110054319288,VERIZON BUSINESS,"517110, 518210",TRUE,
214,37.72305,-122.39799,110054321541,LEVEL 3 COMMUNICATIONS LLC,"517110, 518210",TRUE,
215,41.161749,-96.08513,110054361720,FIDELITY INVESTMENTS DATA CTR,"518210, 541519",TRUE,
216,39.64683,-75.65682,110054435045,"JP MORGAN CHASE BANK- 501 BEAR CHRISTIANA RD, BEAR",518210,TRUE,
217,39.61196,-75.76136,110054468009,LNH INC DBA HOSTING.COM - 350 PENCADER,518210,TRUE,
218,39.61185,-75.76325,110054543838,HOSTMYSITE.COM 1,518210,TRUE,
219,42.65227,-83.21662,110054884648,"HEWLETT-PACKARD ENTERPRISE SERVICES, LLC",518210,TRUE,
220,42.65307,-83.21358,110054888298,"HEWLETT-PACKARD ENTERPRISE SERVICES, LLC",518210,TRUE,
221,39.832493,-105.003339,110055056004,LOCKHEED MARTIN PROPERTIES,"518210, 561110",TRUE,
222,39.38989,-84.21517,110055529076,CYRUSONE,518210,TRUE,
223,33.27428,-111.88906,110055586236,"DIGITAL REALTY TRUST CHANDLER, LLC","518210, 523120",TRUE,
224,38.90598,-77.47037,110055586307,THE WORLD BANK,518210,TRUE,
225,39.82656,-86.11675,110055591328,HEALTH AND HOSPITAL CORPORATION,518210,TRUE,
226,40.12181,-75.41944,110055599945,DATA BASED INTERNATION SYS/LOWER PROVIDENCE,518210,TRUE,
227,38.96195,-77.37208,110055610101,SMITHSONIAN INSTITUTION,518210,TRUE,
228,37.37498,-121.95414,110055709470,"1201 COMSTOCK PARTNERS, LLC",518210,TRUE,
229,37.365392,-121.95813,110055724453,"EDGECONNEX SILICON VALLEY HOLDINGS, LLC",518210,TRUE,
230,37.37581,-121.95322,110055748641,"1100 SPACE PARK, LLC",518210,TRUE,
